id,userid,date,time,category,zone
4925440,110,10/13/2009,12:51:22 AM,3,21
4925439,110,10/13/2009,1:05:49 AM,3,21
4925438,110,10/13/2009,12:56:33 PM,936,25
4925437,110,10/13/2009,5:56:02 PM,936,25
4925436,110,10/13/2009,6:02:05 PM,6,25
4925435,110,10/13/2009,10:49:48 PM,6,25
4925434,110,10/13/2009,10:51:40 PM,4,25
4925433,110,10/13/2009,10:53:11 PM,7,25
4925432,110,10/13/2009,10:57:06 PM,7,25
4925431,110,10/13/2009,10:59:08 PM,7,25
4925430,110,10/13/2009,11:02:47 PM,6,25
4925429,110,10/13/2009,11:05:08 PM,6,25
4925428,110,10/13/2009,11:07:23 PM,6,25
4925427,110,10/13/2009,11:08:45 PM,7,25
4925426,110,10/13/2009,11:10:21 PM,7,25
4925425,110,10/13/2009,11:11:41 PM,4,25
4925424,110,10/13/2009,11:12:18 PM,936,25
4925423,110,10/13/2009,11:12:57 PM,925,25
4925422,110,10/13/2009,11:13:43 PM,4,25
4925421,110,10/13/2009,11:15:31 PM,6,25
4925420,110,10/13/2009,11:18:59 PM,3,25
4925418,110,10/13/2009,11:21:29 PM,936,25
4925417,110,10/13/2009,11:22:56 PM,936,25
4925416,110,10/13/2009,11:25:26 PM,4,25
4925415,110,10/13/2009,11:36:52 PM,7,25
4925414,110,10/13/2009,11:38:17 PM,6,25
4925343,110,10/23/2009,12:28:31 AM,925,25
4925342,110,10/23/2009,12:28:42 AM,7,25
4925341,110,10/23/2009,1:27:18 AM,4,25
4925340,110,10/23/2009,1:32:38 AM,6,25
4925339,110,10/23/2009,5:20:42 AM,13,25
4925338,110,10/23/2009,12:54:05 PM,7,25
4925337,110,10/23/2009,1:00:58 PM,936,25
4925336,110,10/23/2009,5:59:48 PM,6,25
4925335,110,10/23/2009,6:27:46 PM,13,25
4925334,110,10/23/2009,6:38:52 PM,936,25
4925333,110,10/23/2009,9:39:54 PM,6,25
4925332,110,10/23/2009,9:42:45 PM,3,25
4925330,110,10/23/2009,9:44:03 PM,4,25
4925329,110,10/23/2009,9:44:35 PM,6,25
4925328,110,10/23/2009,10:19:05 PM,13,25
4925298,110,10/31/2009,1:15:21 AM,4,25
4925297,110,10/31/2009,3:07:41 PM,6,25
4925296,110,10/31/2009,7:12:50 PM,935,25
4925295,110,10/31/2009,7:13:13 PM,935,25
4925294,110,10/31/2009,7:24:47 PM,936,25
4925293,110,10/31/2009,7:25:07 PM,7,25
4925292,110,10/31/2009,7:26:32 PM,936,25
4925291,110,10/31/2009,7:27:01 PM,942,25
4925290,110,10/31/2009,7:29:11 PM,935,25
4925289,110,10/31/2009,7:38:58 PM,936,25
4925288,110,10/31/2009,7:39:18 PM,942,25
4925287,110,10/31/2009,7:42:08 PM,6,25
4925286,110,10/31/2009,7:42:42 PM,942,25
4925285,110,10/31/2009,7:49:23 PM,127,32
4925284,110,10/31/2009,7:51:43 PM,936,32
4925283,110,10/31/2009,7:52:04 PM,936,32
4925282,110,10/31/2009,7:55:10 PM,12,32
4925281,110,10/31/2009,7:59:07 PM,936,32
4925280,110,10/31/2009,8:03:40 PM,12,32
4925279,110,10/31/2009,8:05:43 PM,13,32
4925278,110,10/31/2009,8:08:11 PM,205,32
4925277,110,10/31/2009,8:08:27 PM,935,32
4925276,110,10/31/2009,8:10:03 PM,6,32
4925275,110,10/31/2009,8:14:23 PM,12,32
4925274,110,10/31/2009,8:14:57 PM,936,32
4925273,110,10/31/2009,8:15:14 PM,6,32
4925272,110,10/31/2009,8:16:58 PM,6,32
4925271,110,10/31/2009,8:17:24 PM,6,32
4925270,110,10/31/2009,8:18:34 PM,936,32
4925269,110,10/31/2009,8:28:55 PM,199,32
4925268,110,10/31/2009,8:29:19 PM,935,32
4925267,110,10/31/2009,8:38:13 PM,935,32
4925266,110,10/31/2009,8:43:07 PM,935,32
4925265,110,10/31/2009,8:44:25 PM,935,32
4925264,110,10/31/2009,8:46:45 PM,12,32
4925263,110,10/31/2009,8:48:03 PM,13,32
4925262,110,10/31/2009,8:48:29 PM,935,32
4925261,110,10/31/2009,8:52:55 PM,13,32
4925260,110,10/31/2009,8:57:47 PM,942,32
4925259,110,10/31/2009,9:00:23 PM,935,32
4925258,110,10/31/2009,9:02:29 PM,942,32
4925257,110,10/31/2009,9:02:43 PM,5,32
4925256,110,10/31/2009,9:03:44 PM,942,32
4925255,110,10/31/2009,9:05:51 PM,942,32
4925254,110,10/31/2009,9:06:05 PM,3,32
4925253,110,10/31/2009,9:09:47 PM,942,32
4925252,110,10/31/2009,9:11:56 PM,942,32
4925251,110,10/31/2009,9:11:59 PM,942,32
4925250,110,10/31/2009,9:20:13 PM,5,32
4925249,110,10/31/2009,9:20:22 PM,12,32
4925248,110,10/31/2009,9:25:27 PM,942,32
4925247,110,10/31/2009,9:41:37 PM,5,32
4925178,110,11/21/2009,5:52:42 AM,13,25
4925177,110,11/21/2009,5:24:09 PM,7,25
4925176,110,11/21/2009,5:27:49 PM,4,25
4925175,110,11/21/2009,5:30:25 PM,7,25
4925174,110,11/21/2009,5:55:34 PM,942,25
4925173,110,11/21/2009,6:03:42 PM,13,25
4925172,110,11/21/2009,6:04:00 PM,7,25
4925171,110,11/21/2009,6:05:57 PM,7,25
4925170,110,11/21/2009,6:08:19 PM,4,25
4925169,110,11/21/2009,6:28:14 PM,6,25
4925168,110,11/21/2009,6:28:34 PM,7,25
4925167,110,11/21/2009,6:29:07 PM,7,25
4925166,110,11/21/2009,6:29:25 PM,925,25
4925165,110,11/21/2009,7:30:09 PM,6,25
4925164,110,11/21/2009,7:35:46 PM,7,25
4925163,110,11/21/2009,7:43:03 PM,7,25
4925162,110,11/21/2009,11:34:00 PM,6,25
7937190,181,10/7/2010,3:26:20 PM,3,21
7937189,181,10/7/2010,4:20:54 PM,3,27
7937188,181,10/7/2010,4:51:43 PM,3,25
7937187,181,10/7/2010,5:16:56 PM,199,32
7937186,181,10/7/2010,6:13:07 PM,6,32
7937185,181,10/7/2010,6:21:46 PM,7,32
7937184,181,10/7/2010,6:42:44 PM,13,32
7937183,181,10/7/2010,7:05:34 PM,942,32
7937182,181,10/7/2010,7:36:38 PM,934,25
7937181,181,10/7/2010,8:04:21 PM,3,25
